file,video_id,channel,date,words,retained_rows,last_timestamp,input_sha256,reader,notes,coverage,deduplication
bravos_2026-03-20_Qwvqz6K1Dyc.txt,Qwvqz6K1Dyc,bravos,2026-03-20,1336,58,7:12,8a4dde8aa3371e127459b409acfab3198d50d253333032e5085199422b99f1b2,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,single retained pass
bravos_2026-03-26_d2xewVN_eDE.txt,d2xewVN_eDE,bravos,2026-03-26,2057,306,10:24,bf8ec939b32ca262378c906c61fdacee91e4bd5b18034d37dd43a8894f7be002,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,first decreasing timestamp; exact equality of removed and retained sequence
bravos_2026-04-02_XDDBhShILQA.txt,XDDBhShILQA,bravos,2026-04-02,2055,305,10:40,e8f01de9907c4480f7fb984302645bb914e3769a01219fa2c082f5aac2ba536c,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,first decreasing timestamp; exact equality of removed and retained sequence
bravos_2026-04-08_Nyb4yfSUlT4.txt,Nyb4yfSUlT4,bravos,2026-04-08,1734,259,9:12,97f7408c43112c351fd6c7bedcf484a6be31c992d4335532ae49b5e24313e1f3,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,first decreasing timestamp; exact equality of removed and retained sequence
bravos_2026-04-20_qaxPhSP8jbg.txt,qaxPhSP8jbg,bravos,2026-04-20,2743,405,14:10,6b36b78644f1fa8d71d69ffda14b3cc2f9d5bbf9647f8e69f069af66d3d84750,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,first decreasing timestamp; exact equality of removed and retained sequence
bravos_2026-04-23_iq599kyAjVA.txt,iq599kyAjVA,bravos,2026-04-23,1876,73,9:33,a81b08d1b0ba11bb6b6711c18ccf84c655e9c829ec651ba8660022d1d583b08f,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,single retained pass
bravos_2026-04-27_PN8bHAr0f1M.txt,PN8bHAr0f1M,bravos,2026-04-27,2196,323,10:59,a5719ee9f543e5b6fc6868ce9d690f8cc097e8af1ad423d4d651063b0811f4ce,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,first decreasing timestamp; exact equality of removed and retained sequence
bravos_2026-05-01_YUwjueXzffE.txt,YUwjueXzffE,bravos,2026-05-01,1859,273,9:34,f720033690377fd3c4c196e9a63b69e4c24a1b4cbbda342ea8c08753e28a45e3,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,first decreasing timestamp; exact equality of removed and retained sequence
bravos_2026-05-07_opuHyONlqjY.txt,opuHyONlqjY,bravos,2026-05-07,1388,214,7:37,deaadf27621703727bf9923ca300c537bf9da67a186214df9d7d335cc68bbc94,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,first decreasing timestamp; exact equality of removed and retained sequence
bravos_2026-05-11_ZyC3GRY5e1M.txt,ZyC3GRY5e1M,bravos,2026-05-11,1837,276,9:43,a0ab9c8f1ce596eeab22d2530414ea7b372c3c49aca0029f28a07952968a42d4,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,first decreasing timestamp; exact equality of removed and retained sequence
bravos_2026-05-13_HUSPFNHI6PY.txt,HUSPFNHI6PY,bravos,2026-05-13,1412,217,7:57,7dbe95896348192380a348a2178a5a5d5d9da51a2c08712265ff0408a94ca73f,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,first decreasing timestamp; exact equality of removed and retained sequence
bravos_2026-05-15_7830S4NkFe8.txt,7830S4NkFe8,bravos,2026-05-15,2040,309,10:54,a4ad354c84c76e3da5016bd0e06f6081a0bf5df756c1304b8b2133d09586539e,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,first decreasing timestamp; exact equality of removed and retained sequence
bravos_2026-05-29_eKomHGJgJEU.txt,eKomHGJgJEU,bravos,2026-05-29,1895,274,10:01,5a72f8b6e625a4ea808c95d4d985ca52dd848ed718a0cab9a0cf3dc11a86c3a9,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,single retained pass
bravos_2026-06-02_bgAmexfyVOI.txt,bgAmexfyVOI,bravos,2026-06-02,2141,323,12:06,c6d5b72084b68e59134293ec9b8bc2767c49a7a9ece9b7b1bf6b34989df42c44,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,first decreasing timestamp; exact equality of removed and retained sequence
bravos_2026-06-05_inUGgMv9Zq0.txt,inUGgMv9Zq0,bravos,2026-06-05,1642,69,9:06,e73c52884cb2f0cebbdb807714e3face9e65507c4447a92b60655254f88fb693,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,single retained pass
bravos_2026-06-11_zmIhCFYlBP0.txt,zmIhCFYlBP0,bravos,2026-06-11,2020,298,11:00,1ebce123fa0e077c5b3c581a6a357b6658c59d6ab53aa235f0c4de5e1eeb7c69,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,first decreasing timestamp; exact equality of removed and retained sequence
bravos_2026-06-15_Ev6e1dJCelc.txt,Ev6e1dJCelc,bravos,2026-06-15,1696,259,9:06,dd220172494714e9a83f6240479e1f7fe6d69b18cd1145d53a927267b86725bd,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,first decreasing timestamp; exact equality of removed and retained sequence
bravos_2026-06-18_ArL4djz-76c.txt,ArL4djz-76c,bravos,2026-06-18,1352,201,7:15,919d39802a1d9db07b8053313c9eca2ed22239b4073002921333cbd6a9c51fa6,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,first decreasing timestamp; exact equality of removed and retained sequence
bravos_2026-06-29_OZhbi8m1Mw8.txt,OZhbi8m1Mw8,bravos,2026-06-29,1598,228,8:08,c6ee38cdeb12f0af84556894e63a4238680a2525650bb4a566aa23d0e1169b46,blind_transcripts,semantic_reading_notes.md,FULL_FIRST_PASS_SEMANTIC_READING,first decreasing timestamp; exact equality of removed and retained sequence
